BCSMASS_Ponto_1;BCSMASS_Ponto_2;BCSMASS_Ponto_3;BCSMASS_Ponto_4;BCSMASS_Ponto_5;BCSMASS_Ponto_6;BCSMASS_Ponto_7;BCSMASS_Ponto_8;BCSMASS_Ponto_9;BCSMASS_Ponto_10;BCSMASS_Ponto_11;BCSMASS_Ponto_12;BCSMASS_Ponto_13;BCSMASS_Ponto_14;BCSMASS_Ponto_15;DUSMASS25_Ponto_1;DUSMASS25_Ponto_2;DUSMASS25_Ponto_3;DUSMASS25_Ponto_4;DUSMASS25_Ponto_5;DUSMASS25_Ponto_6;DUSMASS25_Ponto_7;DUSMASS25_Ponto_8;DUSMASS25_Ponto_9;DUSMASS25_Ponto_10;DUSMASS25_Ponto_11;DUSMASS25_Ponto_12;DUSMASS25_Ponto_13;DUSMASS25_Ponto_14;DUSMASS25_Ponto_15
0,24133909;0,24133909;0,20108443;0,20108443;0,15427399;0,13830388;0,094494276;0,1998146;0,21145643;0,16339427;0,16339427;0,16339427;0,1998146;0,14058377;0,109409675;0,98929244;0,98929244;0,8425359;0,8425359;0,71301156;0,7432994;0,8595447;0,69431067;0,5205195;0,6998962;0,6998962;0,6998962;0,69431067;0,75704247;0,7800694
0,24614108;0,24614108;0,21192668;0,21192668;0,17462313;0,14646874;0,106897846;0,23564966;0,27812532;0,19425817;0,19425817;0,19425817;0,23564966;0,1706631;0,12685548;0,96045935;0,96045935;0,8217499;0,8217499;0,60064584;0,5815301;0,7531198;0,61863047;0,50206304;0,6501849;0,6501849;0,6501849;0,61863047;0,7154844;0,7324279
0,25337207;0,25337207;0,2207525;0,2207525;0,17514113;0,1580079;0,1299967;0,24421614;0,25998056;0,2027623;0,2027623;0,2027623;0,24421614;0,1858423;0,14895618;0,9855414;0,9855414;0,86685544;0,86685544;0,622101;0,61144966;0,6900425;0,5009034;0,46988598;0,56119674;0,56119674;0,56119674;0,5009034;0,57338303;0,5848125
0,29389957;0,29389957;0,24869978;0,24869978;0,1962621;0,18584089;0,1622791;0,3420807;0,3527177;0,33041143;0,33041143;0,33041143;0,3420807;0,2946902;0,21665242;1,2501186;1,2501186;1,1216736;1,1216736;0,8396599;0,9851371;1,2098255;0,7747603;0,55401725;0,6066668;0,6066668;0,6066668;0,7747603;0,76076245;0,9245303
0,3053;0,3053;0,2563385;0,2563385;0,19739135;0,20734945;0,16625439;0,3651798;0,37827685;0,40608662;0,40608662;0,40608662;0,3651798;0,38022447;0,2636995;0,83675563;0,83675563;0,7948841;0,7948841;0,68917704;0,7262426;0,76261586;0,6495723;0,5561017;0,59068227;0,59068227;0,59068227;0,6495723;0,6458222;0,6894805
0,2894533;0,2894533;0,25678337;0,25678337;0,21882811;0,22480339;0,18797573;0,40259632;0,40161654;0,3750656;0,3750656;0,3750656;0,40259632;0,35191292;0,25976214;1,772812;1,772812;1,6248969;1,6248969;1,2799331;1,4272316;1,3222122;1,0564435;0,9710851;1,1344963;1,1344963;1,1344963;1,0564435;1,1893574;1,2060459
0,40821528;0,40821528;0,39817962;0,39817962;0,34001186;0,32326978;0,2754472;0,49618298;0,49016157;0,5250458;0,5250458;0,5250458;0,49618298;0,4750324;0,3746543;0,5979199;0,5979199;0,6079172;0,6079172;0,5535365;0,569235;0,7772673;0,46631297;0,4234605;0,69727665;0,69727665;0,69727665;0,46631297;0,7139477;0,68127066
0,4892497;0,4892497;0,4456018;0,4456018;0,38392255;0,36815485;0,31497794;0,42880818;0,48042902;0,3959054;0,3959054;0,3959054;0,42880818;0,37042043;0,30696744;1,4467689;1,4467689;1,2715101;1,2715101;0,95901245;0,9770843;1,0315036;0,86730987;0,6600636;1,1021509;1,1021509;1,1021509;0,86730987;1,1021291;1,0284766
0,40887034;0,40887034;0,40033066;0,40033066;0,34073094;0,3256121;0,22684576;0,3038804;0,32054234;0,2674459;0,2674459;0,2674459;0,3038804;0,24547933;0,19799717;4,499822;4,499822;4,746717;4,746717;3,3017097;2,9976583;1,8809228;1,5647435;1,446436;1,5797184;1,5797184;1,5797184;1,5647435;1,584851;1,5647155
0,39975226;0,39975226;0,3897998;0,3897998;0,30248964;0,29891294;0,17810723;0,29225034;0,35851243;0,29143417;0,29143417;0,29143417;0,29225034;0,26650852;0,20844442;3,0170314;3,0170314;3,2691338;3,2691338;2,6147072;2,413257;1,7120075;1,5827487;1,7115722;1,8327962;1,8327962;1,8327962;1,5827487;1,9041817;1,6758593
0,227882;0,227882;0,19484685;0,19484685;0,13972196;0,11168403;0,07736212;0,15591364;0,18501528;0,13245197;0,13245197;0,13245197;0,15591364;0,11491781;0,08570692;0,56440157;0,56440157;0,522341;0,522341;0,35381493;0,303706;0,3291464;0,3378692;0,35953483;0,3775446;0,3775446;0,3775446;0,3378692;0,3833294;0,39636347
0,2290211;0,2290211;0,1967633;0,1967633;0,16477834;0,14952943;0,11752886;0,21207431;0,22561543;0,1678272;0,1678272;0,1678272;0,21207431;0,14827463;0,1169094;0,91831684;0,91831684;0,79868954;0,79868954;0,6123925;0,58157444;0,5939363;0,45336974;0,41777235;0,37702674;0,37702674;0,37702674;0,45336974;0,39526588;0,42790696
0,22746916;0,22746916;0,20333686;0,20333686;0,16045198;0,14631236;0,115714975;0,23530133;0,2652811;0,22725858;0,22725858;0,22725858;0,23530133;0,19347909;0,14809208;1,6296557;1,6296557;1,4004341;1,4004341;1,047586;1,1523503;1,0942738;0,8429932;0,7137623;0,811442;0,811442;0,811442;0,8429932;0,86413574;0,9393725
0,21727423;0,21727423;0,19703026;0,19703026;0,16956043;0,15576643;0,11799214;0,2473029;0,26572007;0,2161705;0,2161705;0,2161705;0,2473029;0,18264185;0,13590485;1,4743702;1,4743702;1,3248224;1,3248224;1,0121106;1,017631;1,49998;0,9039482;0,7542883;0,9564892;0,9564892;0,9564892;0,9039482;1,0778999;1,2542577
0,2439017;0,2439017;0,2200266;0,2200266;0,18483946;0,1768201;0,13678733;0,28466105;0,29844546;0,23538093;0,23538093;0,23538093;0,28466105;0,20721957;0,15582904;1,4621428;1,4621428;1,3747425;1,3747425;1,1507149;1,1534288;1,169486;1,0651101;0,7946859;1,0093677;1,0093677;1,0093677;1,0651101;1,0671912;1,0969151
0,3339562;0,3339562;0,28474933;0,28474933;0,22089233;0,21656455;0,15305029;0,29639766;0,26595184;0,23257405;0,23257405;0,23257405;0,29639766;0,21546215;0,16379087;1,4101393;1,4101393;1,1536524;1,1536524;0,7809419;0,8721105;1,1017599;0,8747826;0,70931;1,0209465;1,0209465;1,0209465;0,8747826;1,0716712;1,0832366
0,30556318;0,30556318;0,2697089;0,2697089;0,23658095;0,22119905;0,18083258;0,3507591;0,34568873;0,329837;0,329837;0,329837;0,3507591;0,30693942;0,24337785;1,240371;1,240371;1,1517051;1,1517051;0,91733634;0,814342;0,8077436;0,7341888;0,839106;0,8033208;0,8033208;0,8033208;0,7341888;0,8392279;0,85189945
0,29874256;0,29874256;0,2630595;0,2630595;0,22161394;0,20795347;0,15808922;0,3441976;0,34744918;0,31009355;0,31009355;0,31009355;0,3441976;0,2839372;0,20239675;1,1462114;1,1462114;1,0320333;1,0320333;0,75748163;0,76365954;0,7848987;0,630225;0,59371006;0,69639236;0,69639236;0,69639236;0,630225;0,71664035;0,7196712
0,29813337;0,29813337;0,26579586;0,26579586;0,23030178;0,2454829;0,20080382;0,38632828;0,37121773;0,34769183;0,34769183;0,34769183;0,38632828;0,32285354;0,24459684;1,5626911;1,5626911;1,5376587;1,5376587;1,3442377;1,3629411;1,3652091;1,249675;1,0480436;1,2075697;1,2075697;1,2075697;1,249675;1,2814254;1,3527519
0,3995649;0,3995649;0,3997375;0,3997375;0,34997785;0,36385518;0,33450338;0,39435282;0,38404933;0,38242373;0,38242373;0,38242373;0,39435282;0,35763037;0,2839449;1,3770958;1,3770958;1,4257718;1,4257718;0,7440474;0,7790857;0,8363788;0,65831697;0,60262364;0,7579632;0,7579632;0,7579632;0,65831697;0,7833129;0,7568588
0,35620713;0,35620713;0,36018926;0,36018926;0,31227413;0,3213529;0,24788071;0,39428037;0,40969217;0,3875447;0,3875447;0,3875447;0,39428037;0,3618537;0,28857642;1,783132;1,783132;1,9384336;1,9384336;1,7303574;1,5879787;1,346118;1,280843;1,4172611;1,3252594;1,3252594;1,3252594;1,280843;1,370857;1,3169836
0,32748523;0,32748523;0,30149516;0,30149516;0,26732776;0,23809324;0,18504715;0,27148283;0,267646;0,23206212;0,23206212;0,23206212;0,27148283;0,2192817;0,1847695;1,731919;1,731919;1,5454756;1,5454756;1,279309;1,3975247;1,474857;1,3396645;1,0276778;1,4627327;1,4627327;1,4627327;1,3396645;1,5458661;1,544333
0,36393356;0,36393356;0,33720854;0,33720854;0,27735865;0,23111363;0,16943023;0,28918943;0,31907794;0,2761657;0,2761657;0,2761657;0,28918943;0,23976798;0,18811063;1,324554;1,324554;1,1713716;1,1713716;0,6862682;0,6637728;0,8139041;0,614436;0,52451116;0,7046585;0,7046585;0,7046585;0,614436;0,7302133;0,73230785
0,22654851;0,22654851;0,20632644;0,20632644;0,17270769;0,16878687;0,13237467;0,2289166;0,2649123;0,20259501;0,20259501;0,20259501;0,2289166;0,1722941;0,13834004;0,6710187;0,6710187;0,55424935;0,55424935;0,40584636;0,49124417;0,51549345;0,42906222;0,38815054;0,4720605;0,4720605;0,4720605;0,42906222;0,48202115;0,4882914
0,2010438;0,2010438;0,17799139;0,17799139;0,15041775;0,147893;0,12351058;0,28270385;0,28820452;0,2858682;0,2858682;0,2858682;0,28270385;0,2605973;0,20170513;1,0623007;1,0623007;0,91848594;0,91848594;0,76163054;0,8822298;1,1464294;0,9560974;0,66912806;1,0689886;1,0689886;1,0689886;0,9560974;1,1194577;1,1507714
