70C;70S;76aC;76aS;76bC;76bS;96C;96S;99C;99S;100cC;100cS;100bC;100bS;100fC;100fS;101C;101S;105C;105S;107C;107S;124C;124S;127C;127S;136C;136S;137C;137S;144C;144S;152C;152S;159C;159S;175C;175S;195C;195S;198C;198S;225aC;225aS;225bC;225bS;226C;226S;229C;229S;262C;262S;264C;264S;280C;280S;299C;299S;318C;318S;400C;400S;417C;417S;431C;431S;439C;439S;442C;442S;493C;493S;532C;532S;574C;574S;575C;575S;657C;657S;666C;666S;724C;724S;783C;783S;1002C;1002S;1032C;1032S;1060C;1060S;1084C;1084S;1173C;1173S;1291C;1291S;1304C;1304S;1379C;1379S;1577C;1577S;1655C;1655S;1817C;1817S;2103C;2103S;2152C;2152S;2319C;2319S;4461C;4461S;5915C;5915S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
690,8997477;730,269698;560,6481921;561,7574757;112412,3054;117592,8643;58034;55926;1308,821229;1269,113823;21874,16184;23096,19221;22506,69012;23107,87847;8530,792215;8494,253736;653,5582519;662,954604;14482,31016;14493,78817;45081,93797;63473,33969;59751,04454;63887,22115;119821,211;131620,3337;103921,1911;100636,0115;74912;84358;58761,43326;74744,33877;79287,76745;80068,95105;45274,02019;44225,58511;42587;43104;2449,232773;2562,711292;16606,53794;17490,93489;137897,0434;132248,0354;4051,565856;4116,102971;94351,16722;122385,225;141443;153242;2451,291023;2508,003217;53610,6237;62924,00329;2755,3548;2869,03427;49812,82221;50482,82529;43772,60068;46631,44499;15881,80202;15931,74428;18668,77786;18111,24067;177893;182828;121946,1596;131382,069;5356577035;5381250646;37511,53759;39555,65978;9210;9882;39384,74423;45667,06644;7123,651952;7139,443132;52338,31355;58148,59928;327977;348949;4379873738;4581788756;9342,665973;9347,187837;283351,1694;311308,1809;53519,75084;54865,26785;275766,2733;320953,3104;24977;24912;60592,1014;61737,44962;65664,9522;73315,52104;298202,856;314400,9837;60151,57127;61218,23328;40618,4783;46395,82163;77150,47518;86709,66159;68275,66932;80019,45143;112492,174;126570,537;74825,6216;83275,27734;241965,0469;287201,0888;196997,0272;199868,9145;768771,9023;752306,7599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
686,0917997;703,0582849;564,9831278;565,8552976;120696,5503;111082,1269;60539;62408;1272,893413;1235,70043;24279,75282;23174,32938;22579,8667;22789,66456;8133,802869;8516,929126;658,1717241;657,617651;15069,64395;15597,18287;50181,94058;59500,58879;59984,5733;68082,35176;119664,7192;122543,3697;100443,5603;109031,5958;70996;75532;60662,63664;70620,76017;76821,1027;83761,07862;43731,69359;46134,08551;41828;42218;2402,361775;2412,669261;17077,23651;17296,98058;135121,2347;132760,4426;4103,046779;4124,117517;115888,952;105141,1309;144288;154842;2454,066569;2477,051745;53141,00356;54616,1959;2673,638634;2902,06725;51507,92769;53077,7909;43478,1756;47483,78822;15876,54816;16053,68454;18251,73571;18181,43875;184341;185092;119693,5637;116207,0589;5284123875;5594524807;36393,69516;37745,85045;8996;9141;38775,55634;40976,99612;7059,072707;7298,173022;52046,85131;55509,79903;329529;348860;4445078363;4575722475;9232,939495;9431,461894;289464,9009;323328,9542;51764,58363;57853,82583;258649,8344;323817,3977;25200;24884;60385,71706;69496,86643;66283,31089;72230,34227;278849,5647;306185,1689;59034,27633;59142,45722;38435,6922;39059,40115;80097,96173;97891,79592;66044,55547;78811,15222;107165,6281;132411,5739;71109,62465;89450,58456;243017,7805;275517,5376;191114,1905;195247,9442;736259,7265;748292,4793;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
677,1944956;722,0849805;559,5550762;578,4595697;109556,4121;115947,7123;55825;57012;1290,358039;1246,727522;22307,18323;22147,89304;22271,46672;23188,20488;7949,818331;8314,279641;682,0910501;657,4423029;14482,31016;14501,77048;48857,11296;47442,79533;64295,18232;62140,73545;122014,0622;125712,4234;111656,9526;102312,8509;72369;75929;60037,99137;72490,82455;79833,6858;78293,15369;44886,77978;43807,70331;42350;41312;2408,743712;2465,966013;18074,41245;18777,4905;136256,6219;131018,9953;4024,30533;4083,926252;108818,2925;101802,8124;137828;150551;2549,366219;2479,670923;66441,32742;63977,91625;2763,309569;2682,339888;50417,21119;51723,00861;45104,49155;46815,46052;15992,15629;15930,78313;16746,77619;17288,24328;176074;190012;114125,35;135067,626;5303060670;5570711148;37493,91154;38728,36117;9133;9554;38539,79994;40794,16522;7075,927377;7400,102686;52764,66503;57975,17228;324213;365571;4421294422;4496393400;9234,618156;9380,315709;302510,6209;288521,6853;51773,74946;59430,99797;264839,6738;305759,0589;24932;24921;60203,90628;63584,70761;65323,46158;73037,66331;284720,6677;315928,1769;60397,86909;62147,031;34266,05362;40666,99893;73301,10098;94118,68923;66949,41645;81165,73031;107611,7584;121999,2421;72300,33854;97848,7589;243204,6059;262469,9738;193857,4155;198990,2225;760584,5263;756600,4111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
710,2447068;733,6220667;552,3284772;551,23841;120558,7093;110214,9044;57810;57720;1265,210541;1290,769744;21791,81798;22409,4843;22392,9185;23210,49952;8307,131968;8251,802978;651,9483292;657,6079168;14828,13601;15205,12906;45868,25733;44737,11491;60476,35582;66452,40965;126013,3685;125977,0815;102695,7277;105023,3642;75293;75868;60144,91907;63923,25847;77415,97746;92912,60929;43164,83217;45637,90619;42149;43905;2441,203152;2448,886028;17033,84931;16734,60954;137347,2609;138998,3261;4003,755374;4155,62639;110298,9525;104661,7525;139161;153888;2449,351001;2546,387395;54823,72228;62936,78176;2713,906059;2766,164594;51481,77062;51694,23026;43952,15671;48018,99296;16089,66777;16138,24169;21566,60077;16004,06929;191656;203515;121918,5971;131480,0419;5421299932;5583169046;38018,96153;36427,07475;8992;9458;38867,30961;40257,74952;7100,028135;7192,636441;53336,52787;54738,17375;318411;333079;4401906301;4511899954;9372,896276;9456,526138;294187,7005;303529,6594;52261,75571;55918,1389;273743,0086;308903,8561;24761;25132;60661,61157;65863,38044;62348,46163;69411,75794;292986,8693;314915,2916;59047,40769;59267,75714;38697,99341;38366,08339;80230,4082;98237,77169;65458,96056;83364,72711;108831,8108;128749,3285;71556,54433;93146,3949;243108,0823;282698,7993;192849,8054;202127,2543;723477,7984;786378,1322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
686,1766861;740,0609993;562,1011541;577,4028822;114746,7611;116474,8055;56178;57323;1276,57919;1304,481487;21869,0849;22125,1487;22531,55397;23367,69184;8049,046896;8160,615815;657,2406699;663,8019432;15031,9575;15181,23599;49743,10663;49254,5702;64672,18408;63164,90133;122325,0546;126776,8739;103191,0906;107551,3487;72753;73589;64244,62795;79939,82378;80593,00028;90264,35499;44996,58636;44639,09588;42672;46274;2463,48895;2464,30677;17665,45826;16473,55656;134886,5111;131344,399;4004,671419;4092,430518;105738,4357;114218,9777;138507;148841;2464,055504;2504,488745;57215,16763;64464,47778;2692,481246;2974,659601;51008,7348;54751,70786;43391,65832;44307,98581;15926,63972;15976,78486;20786,64199;18657,38666;180505;196426;114463,4304;128862,8635;5432903724;5348851087;38333,30341;38259,69295;8963;9264;38956,49956;42099,20887;7073,308612;7380,845557;50946,45927;57019,09407;323385;367355;4413913444;4650087327;9309,51656;9510,006317;283470,9236;288377,7224;51785,6822;51886,37861;263587,3831;320100,4334;24940;25186;60990,42878;65093,76018;60363,75623;69009,18288;290730,4587;297186,9039;59144,32332;59992,9644;41571,37479;41070,94968;84624,55096;92416,28905;65832,51292;83784,17616;109093,784;121081,0854;73690,37883;82057,16229;242940,0728;271708,0143;191121,3526;206988,3222;734380,1953;787168,2605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
727,5592396;684,868478;572,8962157;565,4212959;112908,7005;113975,9434;57588;59716;1283,24215;1329,71016;22072,0515;21977,26361;23666,70063;22425,16885;8070,783242;8088,416112;670,4071423;666,7595233;14382,99593;15421,98118;47201,72772;50399,53946;60755,73438;63887,548;124632,5723;123344,3889;103210,7587;101172,6163;73039;72005;64705,4458;63910,57188;108224,3043;94305,53228;43514,69859;50725,1389;41397;41219;2447,364922;2488,096434;16422,21891;17134,62358;133168,1102;136288,5006;3961,039386;4128,702701;104256,8353;104097,4104;137615;144831;2493,359836;2440,650287;51714,09444;56841,45454;2750,098546;3043,302897;49702,04789;53445,19582;43963,8188;45785,57418;15951,44391;15975,15951;19446,34342;19170,40774;176855;201108;131638,1196;119718,1047;5251817314;5569776269;37793,68576;38932,76915;9115;9200;38345,30979;40511,97139;7100,21834;7214,560018;50847,16548;56353,22028;315382;354099;4367610600;4832573924;9220,316184;9461,869674;282157,8666;299890,7138;50566,2484;54605,2224;253151,9548;296974,8915;25268;25153;60712,66894;63148,35553;63368,84447;69829,94022;298790,5794;319568,0515;58960,32308;60102,24895;37644,24681;47888,99713;82515,29147;97303,5981;65908,02184;80426,78328;109681,0311;134327,2723;75766,80686;85710,22151;242316,9462;282755,8149;191843,8004;202373,7383;716450,7441;772484,5712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
700,0633642;703,1750622;562,922178;564,9114015;114064,3482;110663,149;58706;60765;1289,97287;1334,750254;22318,89999;22579,26996;22693,04108;22632,66791;8178,508581;8659,676471;663,5664957;664,0620102;14543,76108;16302,96693;47543,62136;45372,08541;59352,51578;65563,08148;120890,2466;122946,9911;100696,2037;101006,0276;72528;75219;64951,41618;61085,87451;76687,15262;82919,81559;43432,21945;43143,0178;41826;45168;2433,915736;2473,663461;16775,27613;17404,24582;130293,8092;138863,4579;4055,901461;3984,81458;102632,9654;95130,32081;137106;147764;2494,703779;2526,228859;68727,64935;68733,72586;2653,713701;2818,492493;51582,06929;52339,41966;43974,48274;45328,50359;15996,26662;15960,63683;14439,93997;16660,4382;185745;182883;129739,1942;115924,2087;5301925691;5362897160;37218,2322;39007,51335;9111;9303;39059,96707;39745,56898;7045,547166;7183,545743;51273,14217;58998,2315;313534;356562;4423401854;4393142213;9217,154687;9285,169685;285236,5063;321493,5275;52105,09192;56656,20369;253970,4092;313464,7079;24713;24862;60255,34108;66494,08709;58604,75043;68768,64519;300265,6373;292924,7198;59954,31223;60472,15523;36229,58152;40415,65891;74863,36813;95857,06742;67577,93591;77463,59995;106301,6428;126421,5919;73617,42571;88728,21455;242074,4402;269031,5803;191990,202;200393,9411;712041,9726;802122,9438;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
677,1096093;709,1039119;567,3688182;586,159421;111238,398;118313,3301;55620;60688;1284,444837;1315,628531;22952,96952;22013,68628;22330,96007;23623,65577;8411,432607;8537,927415;661,2505516;659,8074539;15299,27791;14576,16482;46168,86341;49419,18736;62593,56022;63798,41364;129938,6563;124816,7065;100285,4201;103250,8238;71238;74565;69214,8914;68563,97904;90224,35229;76173,62937;43499,47082;42906,24088;42208;42086;2442,841198;2476,936841;17071,26514;17285,89476;134714,9382;132509,0481;4018,480989;4064,109498;116233,8865;130446,8659;140057;145979;2501,132577;2505,790523;65074,27492;70582,75389;2736,593827;2658,413413;50361,27391;51332,30912;44547,36967;44087,87944;16051,65378;15985,95034;20449,25874;22597,17919;192778;188406;129586,4728;122910,0856;5433915320;5738605967;38050,64442;39147,72932;9051;9428;38530,35343;41581,3506;7152,195096;7231,02496;51532,86084;54966,131;337786;322450;4377901537;4410682897;9217,192965;9372,38477;281320,8962;300350,9611;51515,8209;56280,87383;257706,8279;355174,0546;24779;25268;60918,16539;65801,81361;64259,57102;75976,907;290312,7099;317551,0639;60889,64009;60157,56763;36496,5431;51819,42316;76457,50033;89169,35789;69439,01417;79416,15261;107797,7487;129105,6512;76261,20127;86366,36242;242328,1721;271869,1949;191335,0264;200114,5555;754823,2882;758076,2576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
710,8276461;695,5066758;559,0266101;566,6180441;110525,371;114065,973;58459;59183;1319,785149;1298,212886;22284,15607;21390,74425;22482,8919;22581,14139;8216,088287;8714,21437;660,5942233;668,5410114;14382,99593;15528,25703;44752,2352;48673,98269;69511,13271;61422,76194;121706,5705;122798,8738;104187,3425;102029,836;74184;72950;71676,61522;70039,77389;75898,04752;82327,68394;44455,25555;50621,27877;42344;42147;2474,311935;2423,654239;16979,01231;17551,47072;135443,5545;132871,4694;4080,675159;4067,721622;102828,4692;112484,513;140134;141350;2442,727546;2487,364587;55560,43958;61975,94243;2760,146069;2767,187255;52963,93633;53963,02896;43283,2032;44668,10351;15704,80876;16021,52194;19048,18576;21023,06382;181449;189380;119276,81;128134,155;5299421680;5380251458;38500,07552;38701,36326;9228;9006;38553,90297;40324,01645;7126,344569;7409,146002;52219,11371;54091,10197;335458;357548;4398721446;4438054936;9214,683182;9317,823356;301136,0467;303406,3089;51153,46886;56772,61193;245368,8292;315257,6074;24897;25041;61032,09323;61675,93248;65075,46618;77621,11513;292745,947;307145,6603;59569,66105;59556,63818;37685,19617;46294,50261;73972,42009;98052,31732;64145,52091;79741,37889;108070,2102;129386,0438;71093,44675;83431,13427;241748,2043;275958,3846;191618,606;203523,1973;752115,1059;789198,9386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
687,2365694;696,0221831;564,5922951;560,2625822;117317,8575;109011,7831;58947;55724;1252,521884;1339,478971;22531,19513;23410,76954;22377,77107;22840,33433;8596,987267;8136,795328;667,5431522;675,054012;14560,95225;15058,32299;49039,27524;46737,68595;61981,79581;62026,83465;123912,3585;125125,5796;101838,6443;101713,1006;70506;76071;63777,29132;68777,69226;80346,99532;78193,72449;44536,44375;45336,99726;42164;43605;2460,203514;2531,564846;15951,54949;17249,08713;136260,3293;130456,0148;4021,79209;4137,006277;104605,8773;116751,0625;138767;148487;2461,927502;2470,132647;56368,37235;66638,99938;2755,652089;2765,245693;50469,34587;51198,21217;45340,93579;46562,25537;15969,42969;16014,47269;20048,31722;17762,84694;186069;195813;124190,246;117819,1343;5357663984;5559636435;36234,03387;38036,41272;9584;8981;38593,56246;41273,98209;7104,264628;7242,199259;51286,86534;56635,75471;325816;321255;4411498132;4537260966;9262,860179;9395,949062;297938,892;300233,3457;50853,17943;57326,36038;245859,1081;280174,1503;24715;25356;60298,16299;63179,41946;64353,83635;73726,18763;304898,3614;316258,9495;59486,96033;61500,74595;41080,87298;42322,4715;83238,16624;93168,3911;66486,02561;82637,76331;109982,31;121948,8852;72161,94666;89072,5906;241925,2548;275751,8456;191990,8692;206417,7071;754065,5647;789980,2769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
