100aC;100aS;100eC;100eS;100dC;100dS;120C;120S;130C;130S;150aC;150aS;150bC;150bS;150cC;150cS;200aC;200aS;200bC;200bS;202C;202S;535aC;535aS;1000C;1000S;1323C;1323S;1400C;1400S;1748C;1748S;1889C;1889S;2392C;2392S;3038C;3038S;3795C;3795S;5934C;5934S;7397C;7397S
22774;22728;22306;22405;21764;21904;16770;16769;62543;64234;67232;67475;27408;27265;27442;26494;30327;30425;30750;31502;42459;41956;229224;218374;19519070,72;20082954,59;291135,9592;290163,2624;32004,82054;31111,96323;35879;35940;345590,5436;342906,4715;399586,543;422402,455;146298,484;147643,1578;50584;59408;62869;61211;42970;30611
21889;21748;22958;22275;21997;21848;16435;16734;62956;63382;66908;67538;29972;27851;26855;26570;30484;30615;30914;30186;42171;42949;234062;223761;19652730,82;20022424,41;285677,8445;296108,6135;35833,29337;29331,79439;35447;35609;345968,8179;341442,1703;400378,4102;425289,8509;145358,3617;149060,0625;51759;56920;61667;61655;39826;28820
21697;21443;22826;23141;21346;21375;17222;16998;64982;61502;66754;67599;28112;27334;27504;27348;30864;31293;30698;30812;40926;43314;232078;226203;20067264,76;19628158,95;286307,496;289854,4288;30355,22565;30813,8357;35563;35587;341265,5181;337041,9202;399157,0699;413675,3652;145281,9632;146724,8655;51390;52800;62426;61448;42470;28546
22398;23052;22861;22449;22404;21563;16723;16572;64063;62938;68169;65945;27937;28597;27102;26783;30307;30349;31253;30407;41507;45780;229918;224608;20187293,46;19705636,77;288751,4987;287861,2251;38216,5721;25355,44513;36571;35960;349149,4085;344935,7363;402558,4519;410471,6901;146132,7838;149453,9988;55593;60202;61509;60358;41022;29626
21979;21480;22540;22691;22636;22177;16401;16797;62386;64894;67014;69050;28556;27600;26974;28492;30877;30687;30847;30094;44469;43197;230034;231416;19788489,32;21142619,4;285064,05;287620,256;27176,79939;30655,22333;36064;35136;342227,2597;335505,0526;398142,1611;417854,574;146119,687;148516,3364;55450;53301;62594;60854;41375;28181
21449;21910;22605;23233;22213;21944;16724;16353;63151;62736;68799;66882;26976;27040;27445;26961;30268;30617;31741;31260;41600;42518;229442;226605;20343049,36;20038453,66;284690,6483;284645,5539;37156,42032;28750,28439;36264;36120;343496,0091;340758,0212;400267,535;447482,7264;146167,0585;146813,4162;53255;55002;63196;61523;41877;29736
21768;23350;22661;22721;22206;23156;17245;16670;64405;63625;66968;66303;27434;26996;27036;27125;30760;29862;29569;31085;44205;42703;242672;210215;19525576,35;19686414,01;283339,9172;297644,1079;34084,2426;25133,3412;35556;35303;359509,4778;340187,8941;400591,6101;425067,0685;145183,3814;148082,2232;54921;46975;64019;60229;40745;27429
22044;21720;22486;22743;21375;21410;17325;16266;63517;64127;67101;67382;27939;28354;27371;27346;30547;30242;31186;30703;42462;42298;212977;231238;19318557,51;20045584;290014,1647;289349,9096;34628,63817;35035,34718;35447;35600;341099,5855;338604,2178;396650,3532;410609,4633;146298,2822;150087,3539;46933;54291;61588;61828;42263;29259
22058;21863;23749;22573;21799;21684;17444;17194;62610;64555;68043;67025;28300;28299;27287;26354;30718;30176;30505;31110;42651;43906;217913;232494;19775468,39;19499415,8;283022,9209;287459,3096;35610,70306;30648,49307;35337;35735;346259,2034;337975,0159;399985,1401;412495,7025;146097,1497;148105,5037;53499;53679;62292;60494;40810;28721
22289;22092;23036;23544;22167;22580;17324;16722;62141;65968;66645;67733;28104;27283;27219;26888;30104;30742;30922;30487;41264;41962;245060;236730;20314418,2;20110807,25;288654,1126;284756,4193;37515,56774;30698,50691;37585;35407;339037,8365;336386,257;402150,2244;422136,7247;145852,0707;150515,1411;51858;52727;61484;60520;44531;28017
